[01/600] Total Loss: 0.0584, Discrepancy Loss: 0.0381,  Constraint Loss: 0.0101
[02/600] Total Loss: 0.0318, Discrepancy Loss: 0.0147,  Constraint Loss: 0.0086
[03/600] Total Loss: 0.0182, Discrepancy Loss: 0.0120,  Constraint Loss: 0.0031
[04/600] Total Loss: 0.0174, Discrepancy Loss: 0.0116,  Constraint Loss: 0.0029
[05/600] Total Loss: 0.0210, Discrepancy Loss: 0.0103,  Constraint Loss: 0.0054
[06/600] Total Loss: 0.0112, Discrepancy Loss: 0.0076,  Constraint Loss: 0.0018
[07/600] Total Loss: 0.0045, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0004
[08/600] Total Loss: 0.0037, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0003
[09/600] Total Loss: 0.0018, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0001
[10/600] Total Loss: 0.0024, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0001
[11/600] Total Loss: 0.0029, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0001
[12/600] Total Loss: 0.0031, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0001
[13/600] Total Loss: 0.0021, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0001
[14/600] Total Loss: 0.0020, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[15/600] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0001
[16/600] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0000
[17/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[18/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[19/600] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0000
[20/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[21/600] Total Loss: 0.0047, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0000
[22/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[23/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[24/600] Total Loss: 0.0030, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0000
[25/600] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0000
[26/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0000
[27/600] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0000
[28/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[29/600] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0000
[30/600] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0000
[31/600] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0000
[32/600] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0000
[33/600] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0000
[34/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0000
[35/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0000
[36/600] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[37/600] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0000
[38/600] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0000
[39/600] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0000
[40/600] Total Loss: 0.0033, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0000
[41/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[42/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0000
[43/600] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[44/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0001
[45/600] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0000
[46/600] Total Loss: 0.0031, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0000
[47/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0000
[48/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[49/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[50/600] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0000
[51/600] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0000
[52/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0000
[53/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0000
[54/600] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0000
[55/600] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0000
[56/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[57/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0000
[58/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0000
[59/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[60/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[61/600] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0000
[62/600] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0000
[63/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[64/600] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0000
[65/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[66/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[67/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0000
[68/600] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0000
[69/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0000
[70/600] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0000
[71/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
